country,year,pop,continent,lifeExp,gdpPercap
Guinea-Bissau,1967,601287,Africa,35.492,715.5806402
Guinea-Bissau,2007,1472041,Africa,46.388,579.231743
Haiti,1967,4318137,Americas,46.243,1452.057666
Haiti,2007,8502814,Americas,60.916,1201.637154
Honduras,1967,2500689,Americas,50.924,2538.269358
Honduras,2007,7483763,Americas,70.198,3548.330846
Hong Kong China,1967,3722800,Asia,70,6197.962814
Hong Kong China,2007,6980412,Asia,82.208,39724.97867
Hungary,1967,10223422,Europe,69.5,9326.64467
Hungary,2007,9956108,Europe,73.338,18008.94444
Iceland,1967,198676,Europe,73.73,13319.89568
Iceland,2007,301931,Europe,81.757,36180.78919
India,1967,5.06e+08,Asia,47.193,700.7706107
India,2007,1110396331,Asia,64.698,2452.210407
Indonesia,1967,109343000,Asia,45.964,762.4317721
Indonesia,2007,223547000,Asia,70.65,3540.651564
Iran,1967,26538000,Asia,52.469,5906.731805
Iran,2007,69453570,Asia,70.964,11605.71449
Iraq,1967,8519282,Asia,54.459,8931.459811
Iraq,2007,27499638,Asia,59.545,4471.061906
Ireland,1967,2900100,Europe,71.08,7655.568963
Ireland,2007,4109086,Europe,78.885,40675.99635
Israel,1967,2693585,Asia,70.75,8393.741404
Israel,2007,6426679,Asia,80.745,25523.2771
Italy,1967,52667100,Europe,71.06,10022.40131
Italy,2007,58147733,Europe,80.546,28569.7197
Jamaica,1967,1861096,Americas,67.51,6124.703451
Jamaica,2007,2780132,Americas,72.567,7320.880262
Japan,1967,100825279,Asia,71.43,9847.788607
Japan,2007,127467972,Asia,82.603,31656.06806
Jordan,1967,1255058,Asia,51.629,2741.796252
Jordan,2007,6053193,Asia,72.535,4519.461171
Kenya,1967,10191512,Africa,50.654,1056.736457
Kenya,2007,35610177,Africa,54.11,1463.249282
Korea Dem. Rep.,1967,12617009,Asia,59.942,2143.540609
Korea Dem. Rep.,2007,23301725,Asia,67.297,1593.06548
Korea Rep.,1967,30131000,Asia,57.716,2029.228142
Korea Rep.,2007,49044790,Asia,78.623,23348.13973
Kuwait,1967,575003,Asia,64.624,80894.88326
Kuwait,2007,2505559,Asia,77.588,47306.98978
Lebanon,1967,2186894,Asia,63.87,6006.983042
Lebanon,2007,3921278,Asia,71.993,10461.05868
Lesotho,1967,996380,Africa,48.492,498.6390265
Lesotho,2007,2012649,Africa,42.592,1569.331442
Liberia,1967,1279406,Africa,41.536,713.6036483
Liberia,2007,3193942,Africa,45.678,414.5073415
Libya,1967,1759224,Africa,50.227,18772.75169
Libya,2007,6036914,Africa,73.952,12057.49928
Madagascar,1967,6334556,Africa,42.881,1634.047282
Madagascar,2007,19167654,Africa,59.443,1044.770126
Malawi,1967,4147252,Africa,39.487,495.5147806
Malawi,2007,13327079,Africa,48.303,759.3499101
Malaysia,1967,10154878,Asia,59.371,2277.742396
Malaysia,2007,24821286,Asia,74.241,12451.6558
Mali,1967,5212416,Africa,38.487,545.0098873
Mali,2007,12031795,Africa,54.467,1042.581557
Mauritania,1967,1230542,Africa,46.289,1421.145193
Mauritania,2007,3270065,Africa,64.164,1803.151496
Mauritius,1967,789309,Africa,61.557,2475.387562
Mauritius,2007,1250882,Africa,72.801,10956.99112
Mexico,1967,47995559,Americas,60.11,5754.733883
Mexico,2007,108700891,Americas,76.195,11977.57496
Mongolia,1967,1149500,Asia,51.253,1226.04113
Mongolia,2007,2874127,Asia,66.803,3095.772271
Montenegro,1967,501035,Europe,67.178,5907.850937
Montenegro,2007,684736,Europe,74.543,9253.896111
Morocco,1967,14770296,Africa,50.335,1711.04477
Morocco,2007,33757175,Africa,71.164,3820.17523
Mozambique,1967,8680909,Africa,38.113,566.6691539
Mozambique,2007,19951656,Africa,42.082,823.6856205
Myanmar,1967,25870271,Asia,49.379,349
Myanmar,2007,47761980,Asia,62.069,944
Namibia,1967,706640,Africa,51.159,3793.694753
Namibia,2007,2055080,Africa,52.906,4811.060429
Nepal,1967,11261690,Asia,41.472,676.4422254
Nepal,2007,28901790,Asia,63.785,1091.359778
Netherlands,1967,12596822,Europe,73.82,15363.25136
Netherlands,2007,16570613,Europe,79.762,36797.93332
New Zealand,1967,2728150,Oceania,71.52,14463.91893
New Zealand,2007,4115771,Oceania,80.204,25185.00911
Nicaragua,1967,1865490,Americas,51.884,4643.393534
Nicaragua,2007,5675356,Americas,72.899,2749.320965
Niger,1967,4534062,Africa,40.118,1054.384891
Niger,2007,12894865,Africa,56.867,619.6768924
Nigeria,1967,47287752,Africa,41.04,1014.514104
Nigeria,2007,135031164,Africa,46.859,2013.977305
Norway,1967,3786019,Europe,74.08,16361.87647
Norway,2007,4627926,Europe,80.196,49357.19017
Oman,1967,714775,Asia,46.988,4720.942687
Oman,2007,3204897,Asia,75.64,22316.19287
Pakistan,1967,60641899,Asia,49.8,942.4082588
Pakistan,2007,169270617,Asia,65.483,2605.94758
Panama,1967,1405486,Americas,64.071,4421.009084
Panama,2007,3242173,Americas,75.537,9809.185636
Paraguay,1967,2287985,Americas,64.951,2299.376311
Paraguay,2007,6667147,Americas,71.752,4172.838464
Peru,1967,12132200,Americas,51.445,5788.09333
Peru,2007,28674757,Americas,71.421,7408.905561
Philippines,1967,35356600,Asia,56.393,1814.12743
Philippines,2007,91077287,Asia,71.688,3190.481016
Poland,1967,31785378,Europe,69.61,6557.152776
Poland,2007,38518241,Europe,75.563,15389.92468
Portugal,1967,9103000,Europe,66.6,6361.517993
Portugal,2007,10642836,Europe,78.098,20509.64777
Puerto Rico,1967,2648961,Americas,71.1,6929.277714
Puerto Rico,2007,3942491,Americas,78.746,19328.70901
Reunion,1967,414024,Africa,60.542,4021.175739
Reunion,2007,798094,Africa,76.442,7670.122558
Romania,1967,19284814,Europe,66.8,6470.866545
Romania,2007,22276056,Europe,72.476,10808.47561
Rwanda,1967,3451079,Africa,44.1,510.9637142
Rwanda,2007,8860588,Africa,46.242,863.0884639
Sao Tome and Principe,1967,70787,Africa,54.425,1384.840593
Sao Tome and Principe,2007,199579,Africa,65.528,1598.435089
Saudi Arabia,1967,5618198,Asia,49.901,16903.04886
Saudi Arabia,2007,27601038,Asia,72.777,21654.83194
Senegal,1967,3965841,Africa,43.563,1612.404632
Senegal,2007,12267493,Africa,63.062,1712.472136
Serbia,1967,7971222,Europe,66.914,7991.707066
Serbia,2007,10150265,Europe,74.002,9786.534714
Sierra Leone,1967,2662190,Africa,34.113,1206.043465
Sierra Leone,2007,6144562,Africa,42.568,862.5407561
Singapore,1967,1977600,Asia,67.946,4977.41854
Singapore,2007,4553009,Asia,79.972,47143.17964
Slovak Republic,1967,4442238,Europe,70.98,8412.902397
Slovak Republic,2007,5447502,Europe,74.663,18678.31435
Slovenia,1967,1646912,Europe,69.18,9405.489397
Slovenia,2007,2009245,Europe,77.926,25768.25759
Somalia,1967,3428839,Africa,38.977,1284.73318
Somalia,2007,9118773,Africa,48.159,926.1410683
South Africa,1967,20997321,Africa,51.927,7114.477971
South Africa,2007,43997828,Africa,49.339,9269.657808
Spain,1967,32850275,Europe,71.44,7993.512294
Spain,2007,40448191,Europe,80.941,28821.0637
Sri Lanka,1967,11737396,Asia,64.266,1135.514326
Sri Lanka,2007,20378239,Asia,72.396,3970.095407
Sudan,1967,12716129,Africa,42.858,1687.997641
Sudan,2007,42292929,Africa,58.556,2602.394995
Swaziland,1967,420690,Africa,46.633,2613.101665
Swaziland,2007,1133066,Africa,39.613,4513.480643
Sweden,1967,7867931,Europe,74.16,15258.29697
Sweden,2007,9031088,Europe,80.884,33859.74835
Switzerland,1967,6063000,Europe,72.77,22966.14432
Switzerland,2007,7554661,Europe,81.701,37506.41907
Syria,1967,5680812,Asia,53.655,1881.923632
Syria,2007,19314747,Asia,74.143,4184.548089
Taiwan,1967,13648692,Asia,67.5,2643.858681
Taiwan,2007,23174294,Asia,78.4,28718.27684
Tanzania,1967,12607312,Africa,45.757,848.2186575
Tanzania,2007,38139640,Africa,52.517,1107.482182
Thailand,1967,34024249,Asia,58.285,1295.46066
Thailand,2007,65068149,Asia,70.616,7458.396327
Togo,1967,1735550,Africa,46.769,1477.59676
Togo,2007,5701579,Africa,58.42,882.9699438
Trinidad and Tobago,1967,960155,Americas,65.4,5621.368472
Trinidad and Tobago,2007,1056608,Americas,69.819,18008.50924
Tunisia,1967,4786986,Africa,52.053,1932.360167
Tunisia,2007,10276158,Africa,73.923,7092.923025
Turkey,1967,33411317,Europe,54.336,2826.356387
Turkey,2007,71158647,Europe,71.777,8458.276384
Uganda,1967,8900294,Africa,48.051,908.9185217
Uganda,2007,29170398,Africa,51.542,1056.380121
United Kingdom,1967,54959000,Europe,71.36,14142.85089
United Kingdom,2007,60776238,Europe,79.425,33203.26128
United States,1967,198712000,Americas,70.76,19530.36557
United States,2007,301139947,Americas,78.242,42951.65309
Uruguay,1967,2748579,Americas,68.468,5444.61962
Uruguay,2007,3447496,Americas,76.384,10611.46299
Venezuela,1967,9709552,Americas,63.479,9541.474188
Venezuela,2007,26084662,Americas,73.747,11415.80569
Vietnam,1967,39463910,Asia,47.838,637.1232887
Vietnam,2007,85262356,Asia,74.249,2441.576404
West Bank and Gaza,1967,1142636,Asia,51.631,2649.715007
West Bank and Gaza,2007,4018332,Asia,73.422,3025.349798
Yemen Rep.,1967,6740785,Asia,36.984,862.4421463
Yemen Rep.,2007,22211743,Asia,62.698,2280.769906
Zambia,1967,3900000,Africa,47.768,1777.077318
Zambia,2007,11746035,Africa,42.384,1271.211593
Zimbabwe,1967,4995432,Africa,53.995,569.7950712
Zimbabwe,2007,12311143,Africa,43.487,469.7092981
