country,year,pop,continent,lifeExp,gdpPercap
Nepal,1952,9182536,Asia,36.157,545.8657229
Nepal,1997,23001113,Asia,59.426,1010.892138
Netherlands,1952,10381988,Europe,72.13,8941.571858
Netherlands,1997,15604464,Europe,78.03,30246.13063
New Zealand,1952,1994794,Oceania,69.39,10556.57566
New Zealand,1997,3676187,Oceania,77.55,21050.41377
Nicaragua,1952,1165790,Americas,42.314,3112.363948
Nicaragua,1997,4609572,Americas,68.426,2253.023004
Niger,1952,3379468,Africa,37.444,761.879376
Niger,1997,9666252,Africa,51.313,580.3052092
Nigeria,1952,33119096,Africa,36.324,1077.281856
Nigeria,1997,106207839,Africa,47.464,1624.941275
Norway,1952,3327728,Europe,72.67,10095.42172
Norway,1997,4405672,Europe,78.32,41283.16433
Oman,1952,507833,Asia,37.578,1828.230307
Oman,1997,2283635,Asia,72.499,19702.05581
Pakistan,1952,41346560,Asia,43.436,684.5971438
Pakistan,1997,135564834,Asia,61.818,2049.350521
Panama,1952,940080,Americas,55.191,2480.380334
Panama,1997,2734531,Americas,73.738,7113.692252
Paraguay,1952,1555876,Americas,62.649,1952.308701
Paraguay,1997,5154123,Americas,69.4,4247.400261
Peru,1952,8025700,Americas,43.902,3758.523437
Peru,1997,24748122,Americas,68.386,5838.347657
Philippines,1952,22438691,Asia,47.752,1272.880995
Philippines,1997,75012988,Asia,68.564,2536.534925
Poland,1952,25730551,Europe,61.31,4029.329699
Poland,1997,38654957,Europe,72.75,10159.58368
Portugal,1952,8526050,Europe,59.82,3068.319867
Portugal,1997,10156415,Europe,75.97,17641.03156
Puerto Rico,1952,2227000,Americas,64.28,3081.959785
Puerto Rico,1997,3759430,Americas,74.917,16999.4333
Reunion,1952,257700,Africa,52.724,2718.885295
Reunion,1997,684810,Africa,74.772,6071.941411
Romania,1952,16630000,Europe,61.05,3144.613186
Romania,1997,22562458,Europe,69.72,7346.547557
Rwanda,1952,2534927,Africa,40,493.3238752
Rwanda,1997,7212583,Africa,36.087,589.9445051
Sao Tome and Principe,1952,60011,Africa,46.471,879.5835855
Sao Tome and Principe,1997,145608,Africa,63.306,1339.076036
Saudi Arabia,1952,4005677,Asia,39.875,6459.554823
Saudi Arabia,1997,21229759,Asia,70.533,20586.69019
Senegal,1952,2755589,Africa,37.278,1450.356983
Senegal,1997,9535314,Africa,60.187,1392.368347
Serbia,1952,6860147,Europe,57.996,3581.459448
Serbia,1997,10336594,Europe,72.232,7914.320304
Sierra Leone,1952,2143249,Africa,30.331,879.7877358
Sierra Leone,1997,4578212,Africa,39.897,574.6481576
Singapore,1952,1127000,Asia,60.396,2315.138227
Singapore,1997,3802309,Asia,77.158,33519.4766
Slovak Republic,1952,3558137,Europe,64.36,5074.659104
Slovak Republic,1997,5383010,Europe,72.71,12126.23065
Slovenia,1952,1489518,Europe,65.57,4215.041741
Slovenia,1997,2011612,Europe,75.13,17161.10735
Somalia,1952,2526994,Africa,32.978,1135.749842
Somalia,1997,6633514,Africa,43.795,930.5964284
South Africa,1952,14264935,Africa,45.009,4725.295531
South Africa,1997,42835005,Africa,60.236,7479.188244
Spain,1952,28549870,Europe,64.94,3834.034742
Spain,1997,39855442,Europe,78.77,20445.29896
Sri Lanka,1952,7982342,Asia,57.593,1083.53203
Sri Lanka,1997,18698655,Asia,70.457,2664.477257
Sudan,1952,8504667,Africa,38.635,1615.991129
Sudan,1997,32160729,Africa,55.373,1632.210764
Swaziland,1952,290243,Africa,41.407,1148.376626
Swaziland,1997,1054486,Africa,54.289,3876.76846
Sweden,1952,7124673,Europe,71.86,8527.844662
Sweden,1997,8897619,Europe,79.39,25266.59499
Switzerland,1952,4815000,Europe,69.62,14734.23275
Switzerland,1997,7193761,Europe,79.37,32135.32301
Syria,1952,3661549,Asia,45.883,1643.485354
Syria,1997,15081016,Asia,71.527,4014.238972
Taiwan,1952,8550362,Asia,58.5,1206.947913
Taiwan,1997,21628605,Asia,75.25,20206.82098
Tanzania,1952,8322925,Africa,41.215,716.6500721
Tanzania,1997,30686889,Africa,48.466,789.1862231
Thailand,1952,21289402,Asia,50.848,757.7974177
Thailand,1997,60216677,Asia,67.521,5852.625497
Togo,1952,1219113,Africa,38.596,859.8086567
Togo,1997,4320890,Africa,58.39,982.2869243
Trinidad and Tobago,1952,662850,Americas,59.1,3023.271928
Trinidad and Tobago,1997,1138101,Americas,69.465,8792.573126
Tunisia,1952,3647735,Africa,44.6,1468.475631
Tunisia,1997,9231669,Africa,71.973,4876.798614
Turkey,1952,22235677,Europe,43.585,1969.10098
Turkey,1997,63047647,Europe,68.835,6601.429915
Uganda,1952,5824797,Africa,39.978,734.753484
Uganda,1997,21210254,Africa,44.578,816.559081
United Kingdom,1952,50430000,Europe,69.18,9979.508487
United Kingdom,1997,58808266,Europe,77.218,26074.53136
United States,1952,157553000,Americas,68.44,13990.48208
United States,1997,272911760,Americas,76.81,35767.43303
Uruguay,1952,2252965,Americas,66.071,5716.766744
Uruguay,1997,3262838,Americas,74.223,9230.240708
Venezuela,1952,5439568,Americas,55.088,7689.799761
Venezuela,1997,22374398,Americas,72.146,10165.49518
Vietnam,1952,26246839,Asia,40.412,605.0664917
Vietnam,1997,76048996,Asia,70.672,1385.896769
West Bank and Gaza,1952,1030585,Asia,43.16,1515.592329
West Bank and Gaza,1997,2826046,Asia,71.096,7110.667619
Yemen Rep.,1952,4963829,Asia,32.548,781.7175761
Yemen Rep.,1997,15826497,Asia,58.02,2117.484526
Zambia,1952,2672000,Africa,42.038,1147.388831
Zambia,1997,9417789,Africa,40.238,1071.353818
Zimbabwe,1952,3080907,Africa,48.451,406.8841148
Zimbabwe,1997,11404948,Africa,46.809,792.4499603
